,subject_doc_id,visitor_uuid,also_like_doc
14827,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,130728135212-341d4f9b091f3e8a0c9205dc67399045
14828,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,130728141250-3410c3e280ca753152fb6904075087fe
14829,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,130728141604-9e29dc5c99673ff8f44f3ab7e8d5dc0a
14830,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,130831230702-5bf41de7855661ac24b0fbd69e76149e
14831,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,130915091303-1300657bb9759c75b2347ef7ab905b69
14832,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,130915091540-2918f11eb712ebc3a044de06f91b35f0
14833,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,130915091706-397e78a01cafc81306e3ba4fcb24f3b3
14834,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,130926042733-1160db0b3f674038a6fae567d53cdcfe
14835,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,131030193729-216e02c7a84ee537f04e79a156d80c74
14836,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,131106173035-4e5cb2508365d95150dc9509ad25eb77
14837,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,131106173052-068f56c1100755331bfe36a5212911ec
14838,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,131209174333-6e172f24a19d0c025cbfcaf064cdcc18
14839,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,131209174804-d352875d0764579ddbae32046df801d2
14840,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,131209174946-3adb782dbe7c8993a0c09ab0a001e322
14841,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,140119092924-ac757c93d4fd2231c436a3dcb6783e5c
14842,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,140128174148-461e4c4f14d9779c60c72b4250d073e8
14843,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,140129144048-06e352e51df88e37d0d49f3a437c2285
14844,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,140214011051-c6d6370b776c8e86780665907fa93478
14845,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,140216162215-ea79d5fc07517ee5a6b81a97adc39a02
14846,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,140219075603-1388f4b8485e878893f49e8bee9ab28f
14847,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,140219122503-201c1976616eb9a5d33c1be288fb9aed
14848,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,140222010604-d23ef3643524410b5e2a328347f0a4d3
